ID file_name x_pos z_pos brush_orien
1 'Exp_40_12_C001H001S0001.jso' 2700000.0 1700.0 0.001 0.0005
2 'Exp_40_12_C001H001S0001.jso' 1600000.0 1700.0 0.001 0.0005
3 'Exp_40_12_C001H001S0001.jso' 3800000.0 1700.0 0.001 0.0005
4 'Exp_40_12_C001H001S0001.jso' 2700000.0 1100 0.001 0.0005
5 'Exp_40_12_C001H001S0001.jso' 2700000.0 2300 0.001 0.0005
6 'Exp_40_12_C001H001S0001.jso' 2700000.0 1700.0 0.0009 0.0006
7 'Exp_40_12_C001H001S0001.jso' 2700000.0 1700.0 0.0011 0.0004
21 'Exp_40_1_C001H001S0001.jso' 2700000.0 1700.0 0.001 0.0005
22 'Exp_40_1_C001H001S0001.jso' 1600000.0 1700.0 0.001 0.0005
23 'Exp_40_1_C001H001S0001.jso' 3800000.0 1700.0 0.001 0.0005
24 'Exp_40_1_C001H001S0001.jso' 2700000.0 1100 0.001 0.0005
25 'Exp_40_1_C001H001S0001.jso' 2700000.0 2300 0.001 0.0005
26 'Exp_40_1_C001H001S0001.jso' 2700000.0 1700.0 0.0009 0.0006
27 'Exp_40_1_C001H001S0001.jso' 2700000.0 1700.0 0.0011 0.0004
41 'Exp_40_7_C001H001S0001.jso' 2700000.0 1700.0 0.001 0.0005
42 'Exp_40_7_C001H001S0001.jso' 1600000.0 1700.0 0.001 0.0005
43 'Exp_40_7_C001H001S0001.jso' 3800000.0 1700.0 0.001 0.0005
44 'Exp_40_7_C001H001S0001.jso' 2700000.0 1100 0.001 0.0005
45 'Exp_40_7_C001H001S0001.jso' 2700000.0 2300 0.001 0.0005
46 'Exp_40_7_C001H001S0001.jso' 2700000.0 1700.0 0.0009 0.0006
47 'Exp_40_7_C001H001S0001.jso' 2700000.0 1700.0 0.0011 0.0004
61 'Exp_40_5_C001H001S0001.jso' 2700000.0 1700.0 0.001 0.0005
62 'Exp_40_5_C001H001S0001.jso' 1600000.0 1700.0 0.001 0.0005
63 'Exp_40_5_C001H001S0001.jso' 3800000.0 1700.0 0.001 0.0005
64 'Exp_40_5_C001H001S0001.jso' 2700000.0 1100 0.001 0.0005
65 'Exp_40_5_C001H001S0001.jso' 2700000.0 2300 0.001 0.0005
66 'Exp_40_5_C001H001S0001.jso' 2700000.0 1700.0 0.0009 0.0006
67 'Exp_40_5_C001H001S0001.jso' 2700000.0 1700.0 0.0011 0.0004
81 'Exp_40_20_C001H001S0001.jso' 2700000.0 1700.0 0.001 0.0005
82 'Exp_40_20_C001H001S0001.jso' 1600000.0 1700.0 0.001 0.0005
83 'Exp_40_20_C001H001S0001.jso' 3800000.0 1700.0 0.001 0.0005
84 'Exp_40_20_C001H001S0001.jso' 2700000.0 1100 0.001 0.0005
